partner_code,iso_3,name,region
462,MDV,Maldives,Asia
466,MLI,Mali,África
470,MLT,Malta,Europa
474,MTQ,Martinique,América del Sur
478,MRT,Mauritania,África
48,BHR,Bahrain,Asia
480,MUS,Mauritius,África
484,MEX,Mexico,América del Norte
490,TWN,Taipei,Asia
492,MCO,Monaco,Europa
496,MNG,Mongolia,Asia
498,MDA,Republic of Moldova,Europa
499,MNE,Montenegro,Europa
50,BGD,Bangladesh,Asia
500,MSR,Montserrat,América del Sur
504,MAR,Morocco,África
508,MOZ,Mozambique,África
51,ARM,Armenia,Asia
512,OMN,Oman,Asia
516,NAM,Namibia,África
52,BRB,Barbados,América del Sur
520,NRU,Nauru,Oceanía
524,NPL,Nepal,Asia
528,NLD,Netherlands,Europa
530,ANT,Antillas holandesas,América del Sur
531,CUW,CuraÃƒÂ§ao,América del Sur
533,ABW,Aruba,América del Sur
534,SXM,Sint Maarten (Dutch part),América del Sur
540,NCL,New Caledonia,Oceanía
548,VUT,Vanuatu,Oceanía
554,NZL,New Zealand,Oceanía
558,NIC,Nicaragua,América del Sur
56,BEL,Belgium,Europa
562,NER,Niger,África
566,NGA,Nigeria,África
568,EUo,Europa otros Nep,Europa
570,NIU,Niue,Oceanía
574,NFK,Norfolk Island,Oceanía
579,NOR,Norway,Europa
580,MNP,Northern Mariana Islands,Oceanía
581,UMI,United States Minor Outlying Islands,Oceanía
583,FSM,Micronesia (Federated States of),Oceanía
584,MHL,Marshall Islands,Oceanía
585,PLW,Palau,Oceanía
586,PAK,Pakistan,Asia
591,PAN,Panama,América del Sur
598,PNG,Papua New Guinea,Oceanía
60,BMU,Bermuda,América del Sur
600,PRY,Paraguay,América del Sur
604,PER,Peru,América del Sur
608,PHL,Philippines,Asia
612,PCN,Pitcairn,Oceanía
616,POL,Poland,Europa
620,PRT,Portugal,Europa
624,GNB,Guinea-Bissau,África
626,TLS,Timor-Leste,Asia
630,PRI,Puerto Rico,América del Sur
634,QAT,Qatar,Asia
637,NAC,North America and central america,América del Sur
638,REU,RÃƒÂ©union,África
64,BTN,Bhutan,Asia
642,ROU,Romania,Europa
643,RUS,Russian Federation,Europa
646,RWA,Rwanda,África
652,BLM,Saint BarthÃƒÂ©lemy,América del Sur
654,SHN,Saint Helena,África
659,KNA,Saint Kitts and Nevis,América del Sur
660,AIA,Anguilla,América del Sur
662,LCA,Saint Lucia,América del Sur
663,MAF,Saint Martin (French Part),América del Sur
666,SPM,Saint Pierre and Miquelon,América del Sur
670,VCT,Saint Vincent and the Grenadines,América del Sur
674,SMR,San Marino,Europa
678,STP,Sao Tome and Principe,África
68,BOL,Bolivia (Plurinational State of),América del Sur
682,SAU,Saudi Arabia,Asia
686,SEN,Senegal,África
688,SRB,Serbia,Europa
690,SYC,Seychelles,África
694,SLE,Sierra Leone,África
699,IND,India,Asia
70,BIH,Bosnia and Herzegovina,Europa
702,SGP,Singapore,Asia
703,SVK,Slovakia,Europa
704,VNM,Viet Nam,Asia
705,SVN,Slovenia,Europa
706,SOM,Somalia,África
710,ZAF,South Africa,África
716,ZWE,Zimbabwe,África
72,BWA,Botswana,África
724,ESP,Spain,Europa
728,SSD,South Sudan,África
729,SDN,Sudan,África
732,ESH,Western Sahara,África
74,BVT,Bouvet Island,América del Sur
740,SUR,Suriname,América del Sur
744,SJM,Svalbard and Jan Mayen Islands,Europa
748,SWZ,Eswatini,África
752,SWE,Sweden,Europa
757,CHE,Switzerland,Europa
76,BRA,Brazil,América del Sur
760,SYR,Syrian Arab Republic,Asia
762,TJK,Tajikistan,Asia
764,THA,Thailand,Asia
768,TGO,Togo,África
772,TKL,Tokelau,Oceanía
776,TON,Tonga,Oceanía
780,TTO,Trinidad and Tobago,América del Sur
784,ARE,United Arab Emirates,Asia
788,TUN,Tunisia,África
792,TUR,TÃƒÂ¼rkiye,Asia
795,TKM,Turkmenistan,Asia
796,TCA,Turks and Caicos Islands,América del Sur
798,TUV,Tuvalu,Oceanía
8,ALB,Albania,Europa
800,UGA,Uganda,África
804,UKR,Ukraine,Europa
807,MKD,North Macedonia,Europa
818,EGY,Egypt,África
826,GBR,United Kingdom of Great Britain and Northern Ireland,Europa
831,GGY,Guernsey,Europa
832,JEY,Jersey,Europa
833,IMN,Isle of Man,Europa
834,TZA,United Republic of Tanzania,África
84,BLZ,Belize,América del Sur
842,USA,United States of America,América del Norte
850,VIR,United States Virgin Islands,América del Sur
854,BFA,Burkina Faso,África
858,URY,Uruguay,América del Sur
86,IOT,British Indian Ocean Territory,África
860,UZB,Uzbekistan,Asia
862,VEN,Venezuela (Bolivarian Republic of),América del Sur
876,WLF,Wallis and Futuna Islands,Oceanía
882,WSM,Samoa,Oceanía
887,YEM,Yemen,Asia
891,SYM,Serbia y montenegro,Europa
894,ZMB,Zambia,África
899,ZNE,Zona nep,SE
90,SLB,Solomon Islands,Oceanía
92,VGB,British Virgin Islands,América del Sur
96,BRN,Brunei Darussalam,Asia
